	60.4444444444444
2720	86.4444444444444
2730	86.4444444444444
2740	86.6666666666667
2750	86.6666666666667
2760	86.6666666666667
2770	86.6666666666667
2780	86.6666666666667
2790	86.6666666666667
2800	86.6666666666667
2810	86.8888888888889
2820	87.1111111111111
2830	87.1111111111111
2840	87.5555555555556
2850	87.5555555555556
2860	87.5555555555556
2870	87.5555555555556
2880	87.7777777777778
2890	88.2222222222222
2900	88.4444444444444
2910	88.4444444444444
2920	88.6666666666667
2930	89.1111111111111
2940	89.1111111111111
2950	89.1111111111111
2960	89.1111111111111
2970	89.1111111111111
2980	89.1111111111111
2990	89.1111111111111
3000	89.1111111111111
3010	89.1111111111111
3020	89.1111111111111
3030	89.1111111111111
3040	89.1111111111111
3050	89.1111111111111
3060	89.1111111111111
3070	89.1111111111111
3080	89.1111111111111
3090	89.1111111111111
3100	89.3333333333333
3110	89.3333333333333
3120	89.3333333333333
3130	89.5555555555556
3140	89.7777777777778
3150	89.7777777777778
3160	89.7777777777778
3170	90
3180	90.2222222222222
3190	90.2222222222222
3200	90.2222222222222
3210	90.2222222222222
3220	90.4444444444444
3230	90.8888888888889
3240	91.1111111111111
3250	91.3333333333333
3260	91.3333333333333
3270	91.5555555555556
3280	91.5555555555556
3290	91.5555555555556
3300	91.5555555555556
3310	91.7777777777778
3320	91.7777777777778
3330	92
3340	92.2222222222222
3350	92.4444444444444
3360	92.4444444444444
3370	92.6666666666667
3380	93.3333333333333
3390	93.3333333333333
3400	93.3333333333333
3410	93.3333333333333
3420	93.3333333333333
3430	93.3333333333333
3440	93.5555555555556
3450	93.5555555555556
3460	93.5555555555556
3470	93.7777777777778
3480	93.7777777777778
3490	93.7777777777778
3500	93.7777777777778
3510	93.7777777777778
3520	93.7777777777778
3530	93.7777777777778
3540	93.7777777777778
3550	93.7777777777778
3560	94
3570	94
3580	94
3590	94
3600	94
3610	94
3620	94.2222222222222
3630	94.2222222222222
3640	94.2222222222222
3650	94.2222222222222
3660	94.2222222222222
3670	94.2222222222222
3680	94.2222222222222
3690	94.6666666666667
3700	94.8888888888889
3710	94.8888888888889
3720	94.8888888888889
3730	94.8888888888889
3740	95.1111111111111
3750	95.1111111111111
3760	95.1111111111111
3770	95.1111111111111
3780	95.1111111111111
3790	95.1111111111111
3800	95.3333333333333
3810	95.5555555555556
3820	95.5555555555556
3830	95.5555555555556
3840	95.5555555555556
3850	95.5555555555556
3860	95.5555555555556
3870	95.5555555555556
3880	95.5555555555556
3890	95.7777777777778
3900	95.7777777777778
3910	95.7777777777778
3920	95.7777777777778
3930	95.7777777777778
3940	95.7777777777778
3950	95.7777777777778
3960	96
3970	96
3980	96
3990	96
4000	96
4010	96
4020	96
4030	96.2222222222222
4040	96.2222222222222
4050	96.2222222222222
4060	96.2222222222222
4070	96.2222222222222
4080	96.2222222222222
4090	96.2222222222222
4100	96.2222222222222
4110	96.2222222222222
4120	96.2222222222222
4130	96.2222222222222
4140	96.4444444444444
4150	96.4444444444444
4160	96.4444444444444
4170	96.4444444444444
4180	96.4444444444444
4190	96.4444444444444
4200	96.4444444444444
4210	96.4444444444444
4220	96.4444444444444
4230	96.4444444444444
4240	96.4444444444444
4250	96.4444444444444
4260	96.6666666666667
4270	96.6666666666667
4280	96.8888888888889
4290	96.8888888888889
4300	96.8888888888889
4310	97.1111111111111
4320	97.1111111111111
4330	97.3333333333333
4340	97.3333333333333
4350	97.3333333333333
4360	97.3333333333333
4370	97.3333333333333
4380	97.3333333333333
4390	97.5555555555556
4400	97.5555555555556
4410	97.7777777777778
4420	97.7777777777778
4430	97.7777777777778
4440	97.7777777777778
4450	97.7777777777778
4460	97.7777777777778
4470	97.7777777777778
4480	97.7777777777778
4490	97.7777777777778
4500	97.7777777777778
4510	97.7777777777778
4520	97.7777777777778
4530	97.7777777777778
4540	97.7777777777778
4550	97.7777777777778
4560	97.7777777777778
4570	97.7777777777778
4580	97.7777777777778
4590	97.7777777777778
4600	97.7777777777778
4610	97.7777777777778
4620	97.7777777777778
4630	97.7777777777778
4640	97.7777777777778
4650	97.7777777777778
4660	97.7777777777778
4670	97.7777777777778
4680	97.7777777777778
4690	97.7777777777778
4700	97.7777777777778
4710	97.7777777777778
4720	97.7777777777778
4730	97.7777777777778
4740	97.7777777777778
4750	97.7777777777778
4760	97.7777777777778
4770	97.7777777777778
4780	97.7777777777778
4790	97.7777777777778
4800	97.7777777777778
4810	97.7777777777778
4820	97.7777777777778
